product_id,brand,ad_product,sales_product,candidate,score,runner_up,spend_30d,status
12205312449,nutty,"너티 강아지 단호박 고구마 양갱 부드러운 노견 간식 부드러운 수제 영양간식 8개입 고구마+단호박, 160g, 1개",냠 단호박,,1.00,0.00,19182,auto
12967786600,saip,파미나 N&D 프라임 캣 멧돼지 사과 1.5kg 고양이 사료,프라임 캣 멧돼지 사과 1.5kg 고양이 사료,,1.00,0.60,18982,auto
12837592746,saip,파미나 N&D 오션 독 청어&오렌지 미니 알갱이 100g 5개 강아지 사료,,오션 독 청어&오렌지 미니 100g 5개,1.00,1.00,17841,review
13688133094,saip,파미나 벳라이프 처방식 독 가스트로인테스티널 2kg 위장 소화 건강,,파미나 벳라이프 처방식 독 울트라하이포 2kg 강아지 사료,0.57,0.17,16856,review
12376500782,nutty,"너티 강아지 건강간식 수제간식 닭가슴살 에너젯바 15개입 165g, 1개",에너젯바,,1.00,0.50,16739,auto
12868128194,saip,파미나 N&D 퀴노아 캣 유리너리 오리 크렌베리 캐모마일 5kg 고양이 사료,,파미나 N&D 프라임 캣 멧돼지 사과 5kg 고양이 사료,0.57,0.25,14792,review
12138498319,saip,레이앤이본 닥터레이 카놉틱 눈영양제 눈물 눈건강 항산화 백내장 루테인,카놉틱,,1.00,0.29,13856,auto
13553759738,saip,고네이티브 스몰브리드 청어 4kg 강아지 사료 면역력,,"고네이티브 스몰브리드 오리 4kg 강아지 프리미엄 사료",0.71,0.56,11801,review
12962952074,saip,파미나 N&D 오션 독 프라임 청어&오렌지 미니 바이트 7kg 대용량,오션 독 청어&오렌지 미니 7kg,,1.00,0.60,11399,auto
13553973867,saip,고네이티브 스몰브리드 치킨 4kg 브로콜리 감자 강아지 프리미엄 사료,,고네이티브 스몰브리드 치킨 4kg 브로콜리 감자,1.00,0.86,8791,review
12838730485,saip,고네이티브 스몰브리드 치킨 1.5kg 강아지 프리미엄 사료,스몰브리드 치킨 1.5kg,,1.00,0.67,6374,auto
13694747362,saip,파미나 벳라이프 처방식 독 레날 50g 강아지 신부전 신장 관리,,프라임 캣 닭고기 석류 50g,0.25,0.25,5889,review
12962080906,saip,파미나 N&D 퀴노아 독 오리 코코넛 강황 미니 알갱이 2.5kg 피부 피모 관리,,퀴노아 독 오리 코코넛 강황 미디움 2.5kg,0.83,0.50,3985,review
12967684732,saip,파미나 N&D 프라임 캣 닭고기 석류 50g 맛보기 샘플,프라임 캣 닭고기 석류 50g,,1.00,0.75,2862,auto
12205200709,nutty,"너티 강아지 닭가슴살 수제간식 바삭칩 개과자 쿠키 닭가슴살, 80g, 1개",,바삭 닭가슴살,0.50,0.00,2615,review
13720034045,nutty,"너티 강아지 파우치 퓨레 짜먹는간식 연어맛 스틱간식 360g, 2개",,스트레스제로껌 2개,0.50,0.00,2446,review
13688160436,saip,파미나 벳라이프 처방식 독 카디악 2kg 심장 건강 관리,,파미나 벳라이프 처방식 독 울트라하이포 2kg 강아지 사료,0.57,0.17,2229,review
13718313925,nutty,"너티 강아지 단호박 고구마 양갱 부드러운 노견 간식 부드러운 수제 영양간식 8개입 고구마+단호박, 320g, 2개",냠 단호박,,1.00,0.50,2040,auto
13718263649,nutty,"너티 강아지 닭가슴살 수제간식 바삭칩 개과자 쿠키 닭가슴살, 240g, 3개",,바삭 닭가슴살,0.50,0.50,1790,review
12962786330,saip,파미나 N&D 오션 캣 대구 오렌지 1.5kg 고양이 사료,캣 대구 오렌지 1.5kg 고양이 사료,,1.00,0.75,1604,auto
12663584455,saip,[맛보기샘플] 고네이티브 스몰브리드 독 연어 치킨 오리 청어 40g 4종 세트,,[맛보기샘플] 고네이티브독 연어 치킨 오리 청어 40g 4종,0.88,0.17,1279,review
13718416338,nutty,"너티 강아지 건강간식 수제간식 닭가슴살 에너젯바 15개입 330g, 2개",에너젯바,,1.00,0.50,924,auto
13718263648,nutty,"너티 강아지 닭가슴살 수제간식 바삭칩 개과자 쿠키 닭가슴살, 160g, 2개",,바삭 닭가슴살,0.50,0.50,583,review
12679027737,saip,파미나 N&D 화이트 독 농어&스피룰리나 미니 알갱이 100g 5개 강아지 사료 맛보기,화이트 독 농어&스피룰리나 미니 알갱이 100g 5개 강아지 사료 맛보기,,1.00,0.62,544,auto
12962934042,saip,파미나 N&D 오션 독 청어&오렌지 미니 알갱이 100g,오션 독 청어&오렌지 미니 100g,,1.00,0.83,341,auto
12867501128,saip,파미나 N&D 퀴노아 캣 유리너리 오리 크렌베리 캐모마일 50g 5개 고양이 사료,,퀴노아 캣 유리너리 오리 50g 5개,1.00,1.00,324,review
12967807797,saip,파미나 N&D 프라임 캣 멧돼지 사과 50g 맛보기 샘플,프라임 캣 멧돼지 사과 50g,,1.00,0.50,275,auto
12962736191,saip,파미나 N&D 오션 독 대구&오렌지 미디움 알갱이 100g 강아지 사료,,오션 독 대구&오렌지 미니알갱이 100g,0.80,0.60,256,review
13718224432,nutty,"너티 강아지 오래먹는 개껌 치석제거 스트레스 완화 안정 집중 강아지껌 덴탈껌 15개입 675g, 3개",,스트레스제로껌 3개,0.50,0.00,0,review
13718313926,nutty,"너티 강아지 단호박 고구마 양갱 부드러운 노견 간식 부드러운 수제 영양간식 8개입 고구마+단호박, 480g, 3개",냠 단호박,,1.00,0.50,0,auto
13718416339,nutty,"너티 강아지 건강간식 대용량 수제간식 닭가슴살 에너젯바 15개입 495g, 3개",에너젯바,,1.00,0.50,0,auto
12844746020,saip,파미나 N&D 오션 독 대구&오렌지 미디움 알갱이 12kg 강아지 사료 대용량,,오션 독 대구&오렌지 미디움알갱이 12kg,0.80,0.50,0,review
12962158952,saip,파미나 N&D 퀴노아 캣 유리너리 오리 크렌베리 캐모마일 50g 고양이 사료,퀴노아 캣 유리너리 오리 50g,,1.00,0.80,0,auto
12962298998,saip,파미나 N&D 엔세스트럴 캣 닭고기 석류 50g 고양이 당뇨 사료,,프라임 캣 닭고기 석류 50g,0.75,0.75,0,review
12962308987,saip,파미나 N&D 엔세스트럴 캣 닭고기 석류 50g 5개 고양이 당뇨 사료,,프라임 캣 닭고기 석류 50g,0.75,0.75,0,review
12962357346,saip,파미나 N&D 엔세스트럴 독 닭고기 석류 미니 알갱이 7kg 대용량 사료,,앤세스트럴 독 닭고기&석류 미니 바이트 7kg,0.67,0.50,0,review
12963031268,saip,파미나 N&D 트로피컬 캣 닭고기 열대과일 50g 고양이 샘플,트로피컬 캣 닭고기 열대과일 50g 고양이 샘플,,1.00,0.50,0,auto
13637207527,saip,파미나 N&D 펌킨 독 닭고기 석류 미니 알갱이 100g 5개,파미나 N&D 펌킨 독 닭고기 석류 미니 알갱이 100g 5개,,1.00,0.60,0,auto
13687656059,saip,파미나 벳라이프 처방식 독 울트라하이포 2kg 알러지 아토피,,파미나 벳라이프 처방식 독 울트라하이포 2kg 강아지 사료,0.71,0.17,0,review
13694766555,saip,파미나 벳라이프 처방식 독 울트라하이포 50g,,프라임 캣 닭고기 석류 50g,0.25,0.25,0,review
13697818070,saip,파미나 벳라이프 처방식 독 스트루바이트 50g 강아지 결석관리,,프라임 캣 닭고기 석류 50g,0.25,0.25,0,review
13697830912,saip,파미나 벳라이프 처방식 독 옥살레이트 50g 비뇨계 건강 관리,,프라임 캣 닭고기 석류 50g,0.25,0.25,0,review
13697866509,saip,파미나 벳라이프 처방식 독 오베시티 50g 다이어트 당뇨,,프라임 캣 닭고기 석류 50g,0.25,0.25,0,review
13697887391,saip,파미나 벳라이프 처방식 독 카디악 50g 심장 건강 관리,,프라임 캣 닭고기 석류 50g,0.25,0.25,0,review
12138874295,saip,레이앤이본 닥터레이 판크레타 소화효소제 장건강 케어,판크레타,,1.00,0.29,0,auto
12844510457,saip,파미나 N&D 오션 독 대구&오렌지 미니 알갱이 7kg 강아지 대용량 사료,,오션 독 대구&오렌지 미니알갱이 7kg,0.80,0.80,0,review
13521780534,saip,파미나 N&D 엔세스트럴 독 닭고기 석류 미니 알갱이 2.5kg 강아지 사료,,펌킨 독 닭고기&석류 미니 바이트 2.5kg,0.67,0.67,0,review
13630727479,saip,레이앤이본 닥터레이 프라피스 강아지 구강 스프레이 기관지,레이앤이본 닥터레이 프라피스 강아지 구강 스프레이 기관지,,1.00,0.43,0,auto
13688145083,saip,파미나 벳라이프 처방식 독 스트루바이트 2kg 강아지 결석관리,,파미나 벳라이프 처방식 독 울트라하이포 2kg 강아지 사료,0.71,0.17,0,review
